browser_log,flow_id,anomaly_score
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_0e4z5x_success.json,flow_20260210_0e4z5x,0.10447600
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_0o2rqx_success.json,flow_20260210_0o2rqx,0.18125887
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_1sgneo_success.json,flow_20260210_1sgneo,0.08151244
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_2x0v76_success.json,flow_20260210_2x0v76,0.05239105
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_34wn0x_success.json,flow_20260210_34wn0x,0.15957589
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_4j5b7p_success.json,flow_20260210_4j5b7p,0.06505810
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_4pohkr_success.json,flow_20260210_4pohkr,0.08989163
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_57dyjr_success.json,flow_20260210_57dyjr,0.05193688
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_6nfa1v_success.json,flow_20260210_6nfa1v,0.08684307
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_6z82zx_success.json,flow_20260210_6z82zx,0.11960546
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_80fmwb_success.json,flow_20260210_80fmwb,0.13679649
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_8woo31_success.json,flow_20260210_8woo31,0.07299502
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_akjqt8_success.json,flow_20260210_akjqt8,0.07031862
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_bquord_success.json,flow_20260210_bquord,0.06600850
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_bsgvpj_success.json,flow_20260210_bsgvpj,0.03283606
C:\Users\katie\Downloads\ai01-3rd-3team-1\logs\real_human\20260210_perf001_flow_20260210_cl6l4q_success.json,flow_20260210_cl6l4q,0.05449476
