browser_log,flow_id,decision,risk_score,rule_score,model_score,context_score,rules_triggered
logs\real_human\20260210_perf001_flow_20260210_0e4z5x_success.json,flow_20260210_0e4z5x,allow,0.05809346,0.00000000,0.14523364,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_0o2rqx_success.json,flow_20260210_0o2rqx,allow,0.14441478,0.00000000,0.36103696,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_1sgneo_success.json,flow_20260210_1sgneo,allow,0.04771563,0.00000000,0.11928908,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_2x0v76_success.json,flow_20260210_2x0v76,allow,0.03633159,0.00000000,0.09082897,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_34wn0x_success.json,flow_20260210_34wn0x,allow,0.11536726,0.00000000,0.28841814,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_4j5b7p_success.json,flow_20260210_4j5b7p,allow,0.12717097,0.00000000,0.31792741,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_4pohkr_success.json,flow_20260210_4pohkr,allow,0.03448871,0.00000000,0.08622178,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_57dyjr_success.json,flow_20260210_57dyjr,allow,0.03351664,0.00000000,0.08379160,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_6nfa1v_success.json,flow_20260210_6nfa1v,allow,0.02828487,0.00000000,0.07071218,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_6z82zx_success.json,flow_20260210_6z82zx,allow,0.06681954,0.00000000,0.16704884,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_80fmwb_success.json,flow_20260210_80fmwb,allow,0.06280120,0.00000000,0.15700299,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_8woo31_success.json,flow_20260210_8woo31,allow,0.03978321,0.00000000,0.09945803,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_akjqt8_success.json,flow_20260210_akjqt8,allow,0.04324519,0.00000000,0.10811296,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_bquord_success.json,flow_20260210_bquord,allow,0.01431158,0.00000000,0.03577895,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_bsgvpj_success.json,flow_20260210_bsgvpj,allow,0.01597097,0.00000000,0.03992743,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_cl6l4q_success.json,flow_20260210_cl6l4q,allow,0.04510258,0.00000000,0.11275645,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_cnib57_success.json,flow_20260210_cnib57,allow,0.06072564,0.00000000,0.15181409,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_crx007_success.json,flow_20260210_crx007,allow,0.04051718,0.00000000,0.10129294,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_d9yezp_success.json,flow_20260210_d9yezp,allow,0.06726283,0.00000000,0.16815708,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_dh7gwk_success.json,flow_20260210_dh7gwk,allow,0.01311358,0.00000000,0.03278394,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_gzupxk_success.json,flow_20260210_gzupxk,allow,0.01912404,0.00000000,0.04781011,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_h6vor9_success.json,flow_20260210_h6vor9,allow,0.03101080,0.00000000,0.07752701,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_hjavp9_success.json,flow_20260210_hjavp9,allow,0.09797404,0.00000000,0.24493511,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_ikkr3o_success.json,flow_20260210_ikkr3o,allow,0.04759472,0.00000000,0.11898679,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_knlwqq_success.json,flow_20260210_knlwqq,allow,0.05068694,0.00000000,0.12671735,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_kywyq6_success.json,flow_20260210_kywyq6,allow,0.09160790,0.00000000,0.22901974,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_l3lp4t_success.json,flow_20260210_l3lp4t,allow,0.00080192,0.00000000,0.00200480,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_lro9k0_success.json,flow_20260210_lro9k0,allow,0.03300501,0.00000000,0.08251253,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_m027nf_success.json,flow_20260210_m027nf,allow,0.02729627,0.00000000,0.06824069,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_m3jp4g_success.json,flow_20260210_m3jp4g,allow,0.03564623,0.00000000,0.08911557,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_mbyguu_success.json,flow_20260210_mbyguu,allow,0.05748297,0.00000000,0.14370743,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_muwwbq_success.json,flow_20260210_muwwbq,allow,0.06989931,0.00000000,0.17474827,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_myp1ct_success.json,flow_20260210_myp1ct,allow,0.06496789,0.00000000,0.16241972,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_oa3lul_success.json,flow_20260210_oa3lul,allow,0.03688528,0.00000000,0.09221321,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_oxv6n5_success.json,flow_20260210_oxv6n5,allow,0.02408484,0.00000000,0.06021210,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_pf0f3f_success.json,flow_20260210_pf0f3f,allow,0.03640017,0.00000000,0.09100043,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_qkvirm_success.json,flow_20260210_qkvirm,allow,0.01081670,0.00000000,0.02704176,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_rcsype_success.json,flow_20260210_rcsype,allow,0.06411076,0.00000000,0.16027689,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_rslu6s_success.json,flow_20260210_rslu6s,allow,0.07144501,0.00000000,0.17861253,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_snby2b_success.json,flow_20260210_snby2b,allow,0.01556327,0.00000000,0.03890818,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_tf6ugm_success.json,flow_20260210_tf6ugm,allow,0.03725561,0.00000000,0.09313903,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_tqz233_success.json,flow_20260210_tqz233,allow,0.02728939,0.00000000,0.06822346,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_tsjjii_success.json,flow_20260210_tsjjii,allow,0.01796650,0.00000000,0.04491624,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_tw2i0y_success.json,flow_20260210_tw2i0y,allow,0.02226214,0.00000000,0.05565536,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_tw8cll_success.json,flow_20260210_tw8cll,allow,0.05103516,0.00000000,0.12758790,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_w3hwqm_success.json,flow_20260210_w3hwqm,allow,0.00899974,0.00000000,0.02249934,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_wj1kha_success.json,flow_20260210_wj1kha,allow,0.05052606,0.00000000,0.12631515,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_x44wxx_success.json,flow_20260210_x44wxx,allow,0.02976336,0.00000000,0.07440840,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_xmeqrc_success.json,flow_20260210_xmeqrc,allow,0.06614811,0.00000000,0.16537028,0.00000000,
logs\real_human\20260210_perf001_flow_20260210_y4any5_success.json,flow_20260210_y4any5,allow,0.05740230,0.00000000,0.14350575,0.00000000,
