browser_log,flow_id,decision,risk_score,rule_score,model_score,context_score,rules_triggered
logs\macro_v2\20260213_perf001_flow_20260213_01bnf2_success.json,flow_20260213_01bnf2,allow,0.26154801,0.00000000,0.65387002,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_0ffx95_success.json,flow_20260213_0ffx95,allow,0.27735080,0.00000000,0.69337700,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_0h15x2_success.json,flow_20260213_0h15x2,allow,0.23989937,0.00000000,0.59974842,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_0hjkhg_success.json,flow_20260213_0hjkhg,allow,0.28097497,0.00000000,0.70243743,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_0q0nfo_success.json,flow_20260213_0q0nfo,allow,0.26376002,0.00000000,0.65940005,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_0xw6et_success.json,flow_20260213_0xw6et,allow,0.23076115,0.00000000,0.57690286,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_13qx10_success.json,flow_20260213_13qx10,allow,0.27916749,0.00000000,0.69791874,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_166e40_success.json,flow_20260213_166e40,allow,0.26251620,0.00000000,0.65629051,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_1flkx8_success.json,flow_20260213_1flkx8,allow,0.27537791,0.00000000,0.68844478,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_1nfyyt_success.json,flow_20260213_1nfyyt,allow,0.22569495,0.00000000,0.56423736,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_1s46j3_success.json,flow_20260213_1s46j3,allow,0.21954057,0.00000000,0.54885143,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_1sg728_success.json,flow_20260213_1sg728,allow,0.28156239,0.00000000,0.70390596,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_2acenh_success.json,flow_20260213_2acenh,allow,0.26468414,0.00000000,0.66171035,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_2bbqwt_success.json,flow_20260213_2bbqwt,allow,0.19692660,0.00000000,0.49231650,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_2cdim7_success.json,flow_20260213_2cdim7,allow,0.26336102,0.00000000,0.65840254,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_2jc3y6_success.json,flow_20260213_2jc3y6,allow,0.27696510,0.00000000,0.69241275,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_2lw04o_success.json,flow_20260213_2lw04o,allow,0.24283561,0.00000000,0.60708902,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_2ph7rj_success.json,flow_20260213_2ph7rj,allow,0.27630366,0.00000000,0.69075916,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_2qc3ti_success.json,flow_20260213_2qc3ti,allow,0.23888004,0.00000000,0.59720011,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_2y4m2d_success.json,flow_20260213_2y4m2d,allow,0.24658021,0.00000000,0.61645053,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_31tei7_success.json,flow_20260213_31tei7,allow,0.27721136,0.00000000,0.69302841,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_31u4pq_success.json,flow_20260213_31u4pq,allow,0.26847491,0.00000000,0.67118728,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_31xsme_success.json,flow_20260213_31xsme,allow,0.25512730,0.00000000,0.63781825,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_33o4zs_success.json,flow_20260213_33o4zs,allow,0.27452680,0.00000000,0.68631700,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_3hky51_success.json,flow_20260213_3hky51,allow,0.24905126,0.00000000,0.62262814,0.00000000,
